region;sity;name;adress;edrpou
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ПСИХОНЕВРОЛОГІЧНА ЛІКАРНЯ ІМ. АКАД. О.І. ЮЩЕНКА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Пирогова, будинок 109;01982264
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ МЕДИЧНИЙ РЕАБІЛІТАЦІЙНИЙ ЦЕНТР ВЕТЕРАНІВ ВІЙНИ ТА РАДІАЦІЙНОГО ЗАХИСТУ НАСЕЛЕННЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Стуса В., будинок 11;01982270
ВІННИЦЬКА; Хмільник;"КНП ""ХМІЛЬНИЦЬКА ОБЛАСНА ЛІКАРНЯ ВІДНОВНОГО ЛІКУВАННЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; ШОЛОМ АЛЕЙХЕМА, будинок 8;01982442
ВІННИЦЬКА; Бар;"КНП ""БАРСЬКА МІСЬКА ЛІКАРНЯ"" БАРСЬКОЇ МІСЬКОЇ РАДИ";Каштанова, будинок 34В;01982488
ВІННИЦЬКА; Бершадь;"КНП ""БЕРШАДСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ БЕРШАДСЬКОЇ МІСЬКОЇ РАДИ""";Будкевича, будинок 2;01982494
ВІННИЦЬКА; Жмеринка;"КНП ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ";Київська, будинок 288;01982525
ВІННИЦЬКА; Іллінці;"КНП ""ІЛЛІНЕЦЬКА МІСЬКА ЛІКАРНЯ"" ІЛЛІНЕЦЬКОЇ МІСЬКОЇ РАДИ";Заремби Юрія, будинок 48А;01982531
ВІННИЦЬКА; Калинівка;"КП ""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ";Медична, будинок 6;01982554
ВІННИЦЬКА; Крижопіль;"КНП ""КРИЖОПІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ""";Нечая Данила, будинок 10;01982560
ВІННИЦЬКА; Липовець;"КНП ""ЛИПОВЕЦЬКА МІСЬКА ЛІКАРНЯ"" ЛИПОВЕЦЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Пирогова, будинок 9;01982577
ВІННИЦЬКА; Літин;"КНП ""ЛІТИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЛІТИНСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 17;01982583
ВІННИЦЬКА; Могилів-Подільський;"КНП ""МОГИЛІВ-ПОДІЛЬСЬКА ОКРУЖНА ЛІКАРНЯ ІНТЕНСИВНОГО ЛІКУВАННЯ"" МОГИЛІВ-ПОДІЛЬСЬКОЇ МІСЬКОЇ РАДИ";Полтавська, будинок 89/2;01982591
ВІННИЦЬКА; Муровані Курилівці;"КНП ""МУРОВАНОКУРИЛОВЕЦЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ""";Незалежності, будинок 87;01982608
ВІННИЦЬКА; Немирів;"КНП ""НЕМИРІВСЬКА МІСЬКА ЛІКАРНЯ"" НЕМИРІВСЬКОЇ МІСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ";Шевченка, будинок 26;01982614
ВІННИЦЬКА; Піщанка(з);"КНП ""ПІЩАНСЬКА  РАЙОННА ЛІКАРНЯ"" ПІЩАНСЬКОЇ СЕЛИЩНОЇ РАДИ";Центральна, будинок 42;01982620
ВІННИЦЬКА; Погребище;"КП ""ПОГРЕБИЩЕНСЬКА ЦЕНТРАЛЬНА  ЛІКАРНЯ"" ПОГРЕБИЩЕНСЬКОЇ МІСЬКОЇ РАДИ";Тичини П., будинок 54а;01982637
ВІННИЦЬКА; Теплик;"КНП  ТЕПЛИЦЬКОЇ СЕЛИЩНОЇ РАДИ ""ТЕПЛИЦЬКА МІСЬКА ЛІКАРНЯ""";Незалежності, будинок 2;01982643
ВІННИЦЬКА; Тростянець;"КНП ""ТРОСТЯНЕЦЬКА ЛІКАРНЯ""";Богуна Івана, будинок 60;01982666
ВІННИЦЬКА; Тульчин;"КНП ""ТУЛЬЧИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ТУЛЬЧИНСЬКОЇ МІСЬКОЇ РАДИ"; МИКОЛИ ЛЕОНТОВИЧА, будинок 114;01982672
ВІННИЦЬКА; Тиврів;"КНП ""БАГАТОПРОФІЛЬНА ЛІКАРНЯ"" ТИВРІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Шевченка, будинок 2А;01982689
ВІННИЦЬКА; Хмільник;"Комунальне некомерційне підприємство ""Хмільницька центральна лікарня"" Хмільницької міської ради"; МОНАСТИРСЬКА, будинок 71;01982695
ВІННИЦЬКА; Чечельник;"КНП ""ЧЕЧЕЛЬНИЦЬКА  РАЙОННА ЛІКАРНЯ"" ЧЕЧЕЛЬНИЦЬКОЇ СЕЛИЩНОЇ РАДИ ГАЙСИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ";Антонішина, будинок 60;01982703
ВІННИЦЬКА; Ямпіль;"КНП ""ЯМПІЛЬСЬКА ТЕРИТОРІАЛЬНА ЛІКАРНЯ"" ЯМПІЛЬСЬКОЇ МІСЬКОЇ РАДИ";Пирогова, будинок 1;01982726
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ШВИДКОЇ МЕДИЧНОЇ ДОПОМОГИ""";Київська, будинок 68;01982749
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3""";Синьоводська, будинок 142;01982755
ВІННИЦЬКА; Вінниця;ВІННИЦЬКИЙ НАЦІОНАЛЬНИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ ІМ. М.І.ПИРОГОВА; ПИРОГОВА, будинок 56;02010669
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА ОБЛАСНА КЛІНІЧНА ЛІКАРНЯ ІМ. М.І. ПИРОГОВА ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Пирогова, будинок 46;02011031
ВІННИЦЬКА; Вінниця, ;"КНП ""ВІННИЦЬКА ОБЛАСНА ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Хмельницьке шосе, будинок 108;03082760
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ТЕРАПІЇ ЗАЛЕЖНОСТЕЙ ""СОЦІОТЕРАПІЯ"" ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; ПИРОГОВА, будинок 109 В;05483931
ВІННИЦЬКА; Бохоники, ;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ФТИЗІОПУЛЬМОНОЛОГІЧНИЙ ЦЕНТР"" ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";КОМПЛЕКС БУДІВЕЛЬ І СПОРУД, будинок Б/Н;05484008
ВІННИЦЬКА; Вінниця, ;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №1""";Хмельницьке шосе, будинок 96;05484126
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ШКІРНО-ВЕНЕРОЛОГІЧНИЙ ЦЕНТР ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Магістратська, будинок 21.;05484155
ВІННИЦЬКА; Вінниця;"КНП ""ПОДІЛЬСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР ОНКОЛОГІЇ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; ХМЕЛЬНИЦЬКЕ ШОСЕ, будинок 84;05484161
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ КЛІНІЧНИЙ ЕНДОКРИНОЛОГІЧНИЙ ЦЕНТР ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ""";Міклера Діонісія, будинок 34;05484178
ВІННИЦЬКА; Чернівці;"КНП ""ЧЕРНІВЕЦЬКА  РАЙОННА ЛІКАРНЯ   ЧЕРНІВЕЦЬКОЇ СЕЛИЩНОЇ РАДИ """;Вінницька, будинок 25 А;05484215
ВІННИЦЬКА; Оратів;"КНП ""ОРАТІВСЬКА  ЛІКАРНЯ ПЛАНОВОГО ЛІКУВАННЯ "" ОРАТІВСЬКОЇ СЕЛИЩНОЇ РАДИ";Пирогова, будинок 2;05484286
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №5 М. ВІННИЦІ""";Замостянська, будинок 49;05484362
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКИЙ ОБЛАСНИЙ МЕДИЧНИЙ ЦЕНТР РЕАБІЛІТАЦІЇ ДІТЕЙ ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ"""; НАГІРНА, будинок 17;05484557
ВІННИЦЬКА; Вінниця;"КНП ""ВІННИЦЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ ""ЦЕНТР МАТЕРІ ТА ДИТИНИ""";Синьоводська, будинок 142;25500212
ВІННИЦЬКА; Вінниця,;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №3 М. ВІННИЦІ"""; Хмельницьке шосе, будинок 96;25502352
ВІННИЦЬКА; Вінниця;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №4 М. ВІННИЦІ""";Замостянська, будинок 18;26244596
ВІННИЦЬКА; Березина;"КНП ВІННИЦЬКОЇ ОБЛАСНОЇ РАДИ ""КЛІНІЧНИЙ ЦЕНТР ІНФЕКЦІЙНИХ ХВОРОБ""";Каштанова, будинок 5;26285843
ВІННИЦЬКА; Вінниця;"ПРИВАТНЕ МЕДИЧНЕ ПІДПРИЄМСТВО""ЦЕНТР-В"""; ПИРОГОВА, будинок 3-А, квартира 1;31127658
